CodigoConvocatoria;CodigoSicAgente;NombreAgenteComprador;FechaPublicacionAviso;PeriodoAContratar;FechaPliegosParaConsulta;FechaPliegosDefinitivos;FechaLimiteRecepcionOfertas;AudienciaPublica;FechaMaximaFormalizacionContratos;Estado;TipoMercado;ExclusivaFNCER;FechaSuspension;FechaReactivacion;FechaCancelacion;FechaCierreConvocatoria
CP-CSSC2023-004;CSSC;Air-e;22/12/2023;01/03/2024 al 31/12/2026;22/12/2023;3/01/2024;1/02/2024;14/02/2024;18/02/2024;Abierta;Regulado;NO;;;;
CP-EEPC2024-001;EEPC;EEP;10/01/2024;01/03/2024 al 31/12/2027;10/01/2024;22/01/2024;2/02/2024;15/02/2024;5/03/2024;Cerrada y desierta;Regulado;NO;;;;15/02/2024
CP-HLAC2023-004;HLAC;ELECTROHUILA;28/12/2023;01/04/2024 al 31/12/2025;28/12/2023;11/01/2024;8/02/2024;21/02/2024;13/03/2024;Abierta;Regulado;NO;;;;
CP-EDPC2023-003;EDPC;DISPAC;19/12/2023;01/04/2024 al 31/12/2033;19/12/2023;12/01/2024;13/02/2024;22/02/2024;12/03/2024;Abierta;Regulado;NO;;;;
CP-EPSC2023-003;EPSC;CELSIA Colombia;19/12/2023;01/01/2025 al 31/12/2029;20/12/2023;15/01/2024;12/02/2024;22/02/2024;14/03/2024;Abierta;Regulado;NO;;;;
CP-CHCC2023-003;CHCC;CHEC;20/12/2023;01/05/2024 al 31/12/2030;21/12/2023;4/01/2024;15/02/2024;28/02/2024;20/03/2024;Abierta;Regulado;NO;;;;
CP-RTQC2023-005;RTQC;RUITOQUE;29/12/2023;04/04/2024 al 31/12/2027;29/12/2023;22/01/2024;19/02/2024;1/03/2024;22/03/2024;Abierta;Regulado;NO;;;;
CP-NEUC2024-001;NEUC;NEU;18/01/2024;01/05/2024 al 31/12/2040;18/01/2024;25/01/2024;22/02/2024;6/03/2024;1/04/2024;Abierta;Regulado;NO;;;;
CP-CEOC2024-001;CEOC;CEO S.A.S E.S.P.;3/01/2024;01/01/2025 al 31/12/2033;9/01/2024;5/02/2024;27/02/2024;8/03/2024;3/04/2024;Abierta;Regulado;NO;;;;
CP-EEPC2024-002;EEPC;EEP;5/02/2024;01/04/2024 al 31/12/2027;5/02/2024;14/02/2024;27/02/2024;8/03/2024;1/04/2024;Abierta;Regulado;NO;;;;
CP-EXEC2024-001;EXEC;exenergy;5/01/2024;01/05/2024 al 31/12/2034;10/01/2024;31/01/2024;4/03/2024;13/03/2024;28/03/2024;Abierta;Regulado;NO;;;;
CP-EDQC2024-001;EDQC;EDEQ;8/02/2024;01/07/2024 al 31/12/2030;9/02/2024;20/02/2024;1/03/2024;14/03/2024;5/04/2024;Abierta;Regulado;NO;;;;
CP-CMXC2024-001;CMXC;CEMEX ENERGY;22/01/2024;01/06/2024 al 31/05/2034;22/01/2024;12/02/2024;11/03/2024;22/03/2024;17/04/2024;Abierta;No Regulado;SI;;;;
CP-PEEC2020-001;PEEC;PEESA;17/02/2020;15/04/2020 al 31/12/2025;4/03/2020;;;;;Cancelada;Regulado;NO;19/02/2020;;3/03/2020;
CP-RTQC2020-002;RTQC;RUITOQUE S.A. E.S.P.;24/06/2020;01/01/2021 al 31/12/2025;25/06/2020;;;;;Cancelada;Regulado;NO;;;26/06/2020;
CP-RTQC2020-003;RTQC;RUITOQUE S.A. E.S.P.;2/07/2020;01/01/2021 al 31/12/2030;3/07/2020;;;;;Cancelada;Regulado;NO;;;3/07/2020;
CP-EPSC2020-001;EPSC;CELSIA Colombia;6/10/2020;01/01/2021 al 31/12/2025;7/10/2020;;;;;Cancelada;Regulado;NO;;;6/10/2020;
CP-CMMC2020-001;CMMC;CARIBEMAR;14/10/2020;01/01/2021 al 31/12/2026;14/10/2020;;;;;Cancelada;Mixto;NO;14/10/2020;;27/10/2020;
CP-EMEC2020-001;EMEC;EMEE;9/11/2020;01/01/2021 al 31/12/2022;9/11/2020;;;;19/01/2021;Cancelada;Regulado;NO;;;7/12/2020;
CP-TPLC2021-004;TPLC;TERPEL;25/06/2021;01/01/2023 al 31/12/2032;29/06/2021;;;;17/09/2021;Cancelada;No Regulado;NO;14/07/2021;;29/07/2021;
CP-TPLC2021-003;TPLC;TERPEL;25/06/2021;01/01/2022 al 31/12/2031;29/06/2021;;;;17/09/2021;Cancelada;Regulado;NO;14/07/2021;;29/07/2021;
CP-CHCC2021-002;CHCC;CHEC;19/10/2021;01/03/2022 al 31/12/2027;21/10/2021;;;;;Cancelada;Regulado;NO;;;19/10/2021;
CP-NEUC2022-001;NEUC;NEU;13/01/2022;01/06/2022 al 31/12/2024;13/01/2022;;;;;Cancelada;Regulado;NO;;;13/01/2022;
CP-ENIC2022-002;ENIC;ENELAR;23/05/2022;01/09/2022 al 31/12/2039;23/05/2022;;;;22/08/2022;Cancelada;Regulado;NO;;;24/05/2022;
CP-ENIC2022-003;ENIC;ENELAR;24/05/2022;01/09/2022 al 31/12/2039;24/05/2022;14/06/2022;15/07/2022;;22/08/2022;Cancelada;Regulado;NO;22/07/2022;;5/08/2022;
CP-NEUC2022-006;NEUC;NEU;5/07/2022;01/09/2022 al 31/12/2022;6/07/2022;;;;;Cancelada;Regulado;NO;;;5/07/2022;
CP-EDPC2022-001;EDPC;DISPAC;26/07/2022;28/09/2022 al 31/10/2022;26/07/2022;;;;;Cancelada;Regulado;NO;;;26/07/2022;
CP-FREC2022-001;FREC;FRANCA ENERGIA;9/08/2022;01/01/2023 al 31/12/2032;12/08/2022;;;;;Cancelada;No Regulado;NO;29/08/2022;;13/09/2022;
CP-EDPC2022-003;EDPC;DISPAC;19/10/2022;01/02/2023 al 31/03/2023;19/10/2022;;;;;Cancelada;Regulado;NO;;;19/10/2022;
CP-ENIC2022-004;ENIC;ENELAR;20/12/2022;01/04/2023 al 31/12/2036;21/12/2022;11/01/2023;8/02/2023;;9/03/2023;Cancelada;Regulado;NO;8/02/2023;;22/02/2023;
CP-ESVC2023-001;ESVC;SIGLO XXI;5/06/2023;01/09/2023 al 31/12/2025;6/06/2023;;;;;Cancelada;Regulado;NO;;;6/06/2023;
CP-ESVC2023-003;ESVC;SIGLO XXI;19/09/2023;01/01/2024 al 30/06/2024;20/09/2023;;;;18/12/2023;Cancelada;Regulado;NO;;;21/09/2023;
CP-EBPC2024-001;EBPC;BAJO PUTUMAYO;25/01/2024;20/03/2024 al 31/12/2026;26/01/2024;;;;;Cancelada;Regulado;NO;;;26/01/2024;
CP-EBSC2024-001;EBSC;EBSA;13/02/2024;01/01/2025 al 31/12/2035;14/02/2024;;;;12/04/2024;Abierta;Regulado;NO;;;;
CP-CSSC2024-001;CSSC;Air-e;19/02/2024;08/04/2024 al 31/12/2037;19/02/2024;;;;11/04/2024;Abierta;Regulado;NO;;;;
CP-QIEC2024-001;QIEC;QI ENERGY;19/02/2024;08/04/2024 al 31/12/2032;19/02/2024;;;;11/04/2024;Abierta;Regulado;NO;;;;
