CodigoConvocatoria;CodigoSicAgente;NombreAgenteComprador;FechaPublicacionAviso;PeriodoAContratar;FechaPliegosParaConsulta;FechaPliegosDefinitivos;FechaLimiteRecepcionOfertas;AudienciaPublica;FechaMaximaFormalizacionContratos;Estado;TipoMercado;ExclusivaFNCER;FechaSuspension;FechaReactivacion;FechaCancelacion;FechaCierreConvocatoria
CP-ESSC2023-002;ESSC;ESSA;30/03/2023;01/08/2023 al 31/12/2036;31/03/2023;25/04/2023;25/05/2023;7/06/2023;29/06/2023;Cerrada y adjudicada;Regulado;NO;;;;10/07/2023
CP-CQTC2023-001;CQTC;ELECTROCAQUETA;4/04/2023;01/08/2023 al 31/12/2041;4/04/2023;27/04/2023;29/05/2023;9/06/2023;5/07/2023;Cerrada y adjudicada;Regulado;NO;;;;13/07/2023
CP-ITLC2023-001;ITLC;ITALENER;12/04/2023;01/07/2023 al 31/12/2024;12/04/2023;27/04/2023;29/05/2023;9/06/2023;5/07/2023;Cerrada y desierta;Regulado;NO;;;;13/06/2023
CP-CEOC2023-001;CEOC;CEO S.A.S E.S.P.;9/04/2023;01/08/2023 al 31/12/2028;11/04/2023;3/05/2023;1/06/2023;15/06/2023;10/07/2023;Cerrada y desierta;Regulado;NO;;;;15/06/2023
CP-EMIC2023-001;EMIC;EMCALI;10/04/2023;01/01/2024 al 31/12/2036;11/04/2023;3/05/2023;1/06/2023;15/06/2023;10/07/2023;Cerrada y desierta;Regulado;NO;;;;20/06/2023
CP-EXEC2023-003;EXEC;exenergy;14/04/2023;01/11/2023 al 31/12/2033;18/04/2023;5/05/2023;5/06/2023;15/06/2023;10/07/2023;Cerrada y desierta;Regulado;NO;;;;29/06/2023
CP-CNSC2023-002;CNSC;CENS;12/04/2023;01/01/2024 al 31/12/2037;12/04/2023;4/05/2023;2/06/2023;16/06/2023;10/07/2023;Cerrada y adjudicada;Regulado;NO;;;;14/07/2023
CP-EPSC2023-001;EPSC;CELSIA Colombia;12/04/2023;01/01/2025 al 31/12/2027;13/04/2023;5/05/2023;5/06/2023;16/06/2023;5/07/2023;Cerrada y adjudicada;Regulado;NO;;;;2/08/2023
CP-EDQC2023-001;EDQC;EDEQ;14/04/2023;01/12/2023 al 31/12/2029;17/04/2023;9/05/2023;7/06/2023;22/06/2023;14/07/2023;Cerrada y adjudicada;Regulado;NO;;;;28/07/2023
CP-EBPC2023-001;EBPC;BAJO PUTUMAYO;19/04/2023;01/08/2023 al 31/07/2033;20/04/2023;4/05/2023;9/06/2023;22/06/2023;14/07/2023;Cerrada y desierta;Regulado;NO;;;;23/06/2023
CP-NEUC2023-002;NEUC;NEU;4/05/2023;01/07/2023 al 31/12/2024;4/05/2023;9/05/2023;7/06/2023;22/06/2023;14/07/2023;Cerrada y desierta;Regulado;NO;;;;26/06/2023
CP-SCEC2023-002;SCEC;SOL & CIELO ENERGIA;5/05/2023;01/07/2023 al 31/12/2035;5/05/2023;10/05/2023;8/06/2023;22/06/2023;14/07/2023;Cerrada y desierta;Regulado;NO;;;;26/06/2023
CP-BIAC2023-003;BIAC;BIAE;21/04/2023;01/08/2023 al 31/12/2025;21/04/2023;10/05/2023;8/06/2023;23/06/2023;17/07/2023;Cerrada y adjudicada;Regulado;NO;;;;24/07/2023
CP-EMIC2023-002;EMIC;EMCALI;12/04/2023;01/01/2024 al 31/12/2036;13/04/2023;5/05/2023;22/06/2023;6/07/2023;28/07/2023;Cerrada y adjudicada;No Regulado;NO;7/06/2023;;;1/09/2023
CP-TPLC2023-002;TPLC;TERPEL;28/04/2023;10/08/2023 al 31/03/2024;3/05/2023;25/05/2023;26/06/2023;7/07/2023;26/07/2023;Cerrada y adjudicada;Regulado;NO;;;;16/08/2023
